,gaia_dr3_source_id
11851,6453986715058741120
11854,6674985116265556352
11856,6806583841928390400
11872,1811300412963816576
11877,6674899075185809792
11885,2167789841060297984
11887,6799271058813651968
11928,1856123481943041152
11942,2183289695130494080
11946,6858356064909035648
11960,1863297898403938944
11969,6857930553910420608
11990,6482745708696336640
12001,2276192169909917440
12003,6914183596010946048
12053,1863256941594127104
12056,1856158425794359552
12067,6677847931011658752
12072,6482779145017901184
12076,1859297634566155776
12105,4228180417108614016
12128,6779096394834497664
12140,6778301551004099968
12153,6425365426657729536
12154,2066035777984385792
12156,2066035777984385664
12199,2182068580094976640
12222,6454631849209345536
12244,6806289340315640064
12281,1863073975982799232
12288,6469543705078264064
12292,1811277250201563392
12293,6470359680148125056
12296,2196942296653561472
12297,1750933445025610496
12303,1735059928798967296
12317,2271070129351916288
12321,6453806498228265344
12352,2275425775946418816
12358,2063458492673258880
12371,4228027550636825472
12387,6907027901322999552
12389,6915130924062243328
12409,2166332030390763264
12417,6858508927089699072
12444,6677111945416616064
12463,2277707159494044032
12483,4228388602763827584
12490,4228388774562523264
12498,1870328931653710464
12502,1859502723551332480
12505,6914811447214280320
12507,6888037823682460416
12509,6457399839668655872
12510,6457399839667267328
12530,6348333951253469184
12532,6348333955549947648
12545,1735901536229981824
12550,6342782418260697088
12571,1814420071046309504
12574,6858746559040562688
12577,6858437531849799552
12582,1813125739701113472
12583,2290866045936060160
12608,1869014392488602496
12611,6678385832716432128
12615,1751891733833168512
12624,6375984194791803264
12626,6425476786570223616
12627,6348226783229567744
12669,2067065230108705024
12673,6470278694244646912
12685,6856852998154445312
12719,1841984758839369472
12740,4226641105124840704
12750,6470276559642110848
12758,2290798529049932672
12762,6676634933462948352
12764,6470304872066777600
12784,2065145585884240896
12789,1730874328550458880
12795,6774898901818184704
12804,6795584254588780416
12834,1869963339744296832
12892,6779854645537961472
12896,2182996980235427200
12898,1814535240597118592
12907,6778178096465570304
12913,1764701903292325504
12914,6376136412726899200
12915,1762849780249576960
12937,1814638079292600576
12947,6794538309793221120
12979,6886260742310056064
13002,1845864450038222976
13007,6882727697916906752
13017,1761104992733063424
13041,2065535916813680256
13048,2182571709742462592
13050,2245659900238874752
13066,6375258688916416512
13072,4227320672031546240
13079,6794766286658056576
13108,1764416167709248768
13112,1858623560928255744
13113,6362156599121046784
13118,1870003197041064832
13119,6882757556529076224
13123,1750545141328217984
13129,1730955589333576960
